asset_id,property_id,allocation,gl_account,payment_month,due_date,billing_date,period,term_to_maturity,bank_rate_annual,nim_annual,lease_rate_monthly,lease_base,opening_balance,payment,interest,amortization,ending_balance,rate_source,posted_timestamp
A1011,SMP Lakeview SPE LLC,ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2219.37,2219.37,52.77,12.27,40.5,2178.87,posted_ledger,2026-08-12T11:36:59
A1012,"SMP Chelsea Park SPE, LLC",ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2219.37,2219.37,52.77,12.27,40.5,2178.87,posted_ledger,2026-08-12T11:36:59
A1013,"Eaton Inmeta SPE, LLC",ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2219.37,2219.37,52.77,12.27,40.5,2178.87,posted_ledger,2026-08-12T11:36:59
A1014,"Grove at Alban SPE, LLC",ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2219.37,2219.37,52.77,12.27,40.5,2178.87,posted_ledger,2026-08-12T11:36:59
A1015,"Linden Park Associates, LLC",ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2219.37,2219.37,52.77,12.27,40.5,2178.87,posted_ledger,2026-08-12T11:36:59
A1016,SMP Ashland Towne Square SPE LLC,ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2219.37,2219.37,52.77,12.27,40.5,2178.87,posted_ledger,2026-08-12T11:36:59
A1017,"Linden Park Associates, LLC",ALC,A7500-0100,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,1963.43,1963.43,46.68,10.85,35.83,1927.6,posted_ledger,2026-08-12T11:36:59
A1018,"Acento Management Company, LLC",ALC,F7005-0010,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2519.57,2519.57,59.91,13.93,45.98,2473.59,posted_ledger,2026-08-12T11:36:59
A1019,"Acento Management Company, LLC",ALC,F7005-0010,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2519.57,2519.57,59.91,13.93,45.98,2473.59,posted_ledger,2026-08-12T11:36:59
A1020,"Acento Management Company, LLC",ALC,F7005-0010,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2519.57,2519.57,59.91,13.93,45.98,2473.59,posted_ledger,2026-08-12T11:36:59
A1021,"Acento Management Company, LLC",ALC,F7005-0010,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2519.57,2519.57,59.91,13.93,45.98,2473.59,posted_ledger,2026-08-12T11:36:59
A1022,"Acento Management Company, LLC",ALC,F7005-0010,2026-04-03,2026-04-03,2026-04-30,1,48,0.06634,0.0,0.00552833,2519.57,2519.57,59.91,13.93,45.98,2473.59,posted_ledger,2026-08-12T11:36:59
A1023,"SMP Old Orchard SPE, LLC",ALC,A6020-0630,2026-04-03,2026-04-03,2026-04-30,1,36,0.06634,0.0,0.00552833,1219.96,1219.96,37.47,6.74,30.72,1189.24,posted_ledger,2026-08-12T11:36:59
